,name,lat,long,address,zipcode
0,5900 Wilshire,34.062144,-118.35869309999998,"5900 Wilshire Blvd, Los Angeles, CA 90036, USA",90036
1,777 Tower,34.0484454,-118.2613875,"777 Tower, 777 S Figueroa St, Los Angeles, CA 90017, USA",90017
2,Ahmanson Theatre,34.058248600000006,-118.2473003,"135 N Grand Ave, Los Angeles, CA 90012, USA",90012
3,Alex Theatre,34.1488321,-118.2541877,"216 N Brand Blvd, Glendale, CA 91203, USA",91203
4,"Glendale, California",34.1425078,-118.255075,"Glendale, CA, USA",91203
5,Alvarado Terrace Historic District,34.0470832,-118.2965121,"Los Angeles, CA 90006, USA",90006
6,Andalusia ,37.5442706,-4.7277528,"Andalusia, Spain",90006
7,"Angelino Heights, Los Angeles",34.070288899999994,-118.25479650000001,"Angelino Heights, Los Angeles, CA 90026, USA",90026
8,Angels Flight,34.0513417,-118.2502182,"350 S Grand Ave, Los Angeles, CA 90071, USA",90071
9,Downtown Los Angeles,34.040713000000004,-118.2467693,"Downtown Los Angeles, Los Angeles, CA, USA",90071
10,Angelus Temple,34.0762787,-118.2611031,"1100 Glendale Blvd, Los Angeles, CA 90026, USA",90026
11,Antelope Valley California Poppy Reserve,34.724911600000006,-118.39690619999999,"Antelope Valley California Poppy Reserve State Natural Reserve, 15101 Lancaster Rd, Lancaster, CA 93536, USA",93536
12,The Apple Pan,34.0406896,-118.42785020000001,"10801 W Pico Blvd, Los Angeles, CA 90064, USA",90064
13,Aquarium of the Pacific,33.762524299999995,-118.1967038,"100 Aquarium Way, Long Beach, CA 90802, USA",90802
14,Arroyo Seco ,36.4135756,-121.34243049999999,"Arroyo Seco, California 93960, USA",93960
15,Arroyo Seco Parkway,34.1003169,-118.20169950000002,"Arroyo Seco Pkwy, California, USA",93960
16,Art Center College of Design,34.1688713,-118.18515690000001,"1700 Lida St, Pasadena, CA 91103, USA",91103
17,"Pasadena, California",34.1477849,-118.1445155,"Pasadena, CA, USA",91103
18,Autry National Center,34.14862,-118.281213,"Griffith Park, 4700 Western Heritage Way, Los Angeles, CA 90027, USA",90027
19,Backbone Trail,34.079598,-118.77791940000002,"Backbone Trail, California, USA",90027
20,Baldwin Hills Village,34.0195515,-118.3617279,"The Village Green, Los Angeles, CA 90016, USA",90016
21,Ballona Creek,33.999607,-118.40129820000001,"Ballona Creek, California, USA",90016
22,Banning House,33.43832250000001,-118.4978415,"1 W Banning House Rd, Avalon, CA 90704, USA",90704
23,Banc of California Stadium,34.012638200000005,-118.2841482,"3939 S Figueroa St, Los Angeles, CA 90037, USA",90037
24,Barney's Beanery,34.0908203,-118.37458799999999,"8447 Santa Monica Blvd, West Hollywood, CA 90069, USA",90069
25,Barnsdall Art Park,34.100400799999996,-118.2943922,"Barnsdall Art Park, 4800 Hollywood Blvd, Los Angeles, CA 90027, USA",90027
26,USS Iowa Museum,33.7422615,-118.27728229999998,"250 S Harbor Blvd, Los Angeles, CA 90731, USA",90731
27,Bergamot Station,34.0283062,-118.4677906,"2525 Michigan Ave, Santa Monica, CA 90404, USA",90404
28,Beverly Gardens Park,34.072325299999996,-118.4034489,"Beverly Gardens Park, 9439 Santa Monica Blvd, Beverly Hills, CA 90210, USA",90210
29,Beverly Hills Hotel,34.0818769,-118.4134867,"9641 Sunset Blvd, Beverly Hills, CA 90210, USA",90210
30,Beverly Wilshire Hotel,34.0668449,-118.40084080000001,"9500 Wilshire Blvd, Beverly Hills, CA 90212, USA",90212
31,Big Tujunga Dam,34.2933344,-118.18840700000001,"Big Tujunga Dam, Tujunga, CA 91042, USA",91042
32,Millennium Biltmore Hotel,34.049799799999995,-118.2540288,"506 S Grand Ave, Los Angeles, CA 90071, USA",90071
33,Biola University,33.9054476,-118.0151797,"13800 Biola Ave, La Mirada, CA 90639, USA",90639
34,Biscuit Company Lofts,34.035653100000005,-118.23281709999999,"1850 Industrial St, Los Angeles, CA 90021, USA",90021
35,Bob Baker Marionette Theater,34.121812799999994,-118.207202,"4949 York Blvd, Los Angeles, CA 90042, USA",90042
36,Bolton Hall ,34.252675,-118.28829170000002,"10110 Commerce Ave, Tujunga, CA 91042, USA",91042
37,Westin Bonaventure Hotel,34.052777299999995,-118.255596,"404 S Figueroa St, Los Angeles, CA 90071, USA",90071
38,"Boyle Heights, Los Angeles",34.0297895,-118.2117257,"Boyle Heights, Los Angeles, CA, USA",90071
39,Bradbury Building,34.050604,-118.24785729999999,"304 S Broadway, Los Angeles, CA 90013, USA",90013
40,Breed Street Shul,34.046878,-118.20963700000001,"247 N Breed St, Los Angeles, CA 90033, USA",90033
41,Broadway Theater District ,40.758728100000006,-73.9853368,"Broadway, New York, NY, USA",90033
42,Bryson Apartment Hotel,34.061437,-118.282544,"2701 Wilshire Blvd, Los Angeles, CA 90057, USA",90057
43,Bullocks Wilshire,34.061399200000004,-118.28842250000001,"3050 Wilshire Blvd, Los Angeles, CA 90005, USA",90005
44,The Bunny Museum,34.1904746,-118.1316075,"2605 Lake Ave, Altadena, CA 91001, USA",91001
45,Burbank City Hall,34.182030700000006,-118.3080741,"275 E Olive Ave, Burbank, CA 91502, USA",91502
46,Burro Flats Painted Cave,34.504185299999996,-119.78761170000001,"Chumash Painted Cave State Historic Park, CA-154, Santa Barbara, CA 93105, USA",93105
