,name,lat,long,address,zipcode
0,Sam’s Club,33.9499068,-118.1624495,"5871 Firestone Blvd, South Gate, CA 90280, USA",90280
1,Sam’s Club,33.873949,-118.2983967,"1399 Artesia Blvd, Gardena, CA 90248, USA",90248
2,Arlington Community Market,34.0185074,-118.3177609,"3798 Arlington Ave, Los Angeles, CA 90018, USA",90018
3,M & M Mini Market & Restaurant,33.9885001,-118.2479153,"5811 Compton Ave, Los Angeles, CA 90011, USA",90011
4,Yoly’s Market No 2,34.0284566,-118.1817045,"531 S Bonnie Beach Pl, Los Angeles, CA 90063, USA",90063
5,Ralphs,34.1023206,-118.3082535,"5429 Hollywood Blvd, Los Angeles, CA 90027, USA",90027
6,Royale Grocery,34.1020586,-118.3105183,"1710 Garfield Pl, Los Angeles, CA 90028, USA",90028
7,Bernstein Corner,34.0946687,-118.3134705,"1280 N Wilton Pl, Los Angeles, CA 90038, USA",90038
8,Beverly Hills Farmers Market,34.0736573,-118.3991009,"9300 Civic Center Dr, Beverly Hills, CA 90210, USA",90210
9,Cielito Lindo Meat Market,33.9673215,-118.2474438,"7900 Compton Ave, Los Angeles, CA 90001, USA",90001
10,Ant Liquor,34.0576595,-118.3075682,"W 8th St, Los Angeles, CA, USA",90001
11,Jim’s Fallbrook Market,34.0301101,-118.291761,"2715 S Vermont Ave, Los Angeles, CA 90007, USA",90007
12,Christina’s Market,34.0422095,-118.2073684,"2600 E 1st St, Los Angeles, CA 90033, USA",90033
13,Big Bear Market,34.026275,-118.2296712,"1510 S Santa Fe Ave, Los Angeles, CA 90021, USA",90021
14,Guerrero Grocery,34.0708878,-118.3235852,"S Larchmont Blvd, Los Angeles, CA 90004, USA",90004
15,Larchmont Farmers Market,34.074842,-118.3239467,"209 N Larchmont Blvd, Los Angeles, CA 90004, USA",90004
16,Glendale Ranch Market,34.0887848,-118.361552,"N Fairfax Ave, Central LA, CA, USA",90004
17,My Kosher Wine,33.895696,-118.3091454,"S Western Ave, California, USA",90004
18,El Santauro Choe’s Discount Market,34.0313566,-118.122419,"2469 Via Campo St, Montebello, CA 90640, USA",90640
19,Max Foods-Grocery Warehouse Food Centers,34.022725,-118.354347,"3480 South La Brea Ave, Los Angeles, CA 90016, USA",90016
20,Superior Grocers,34.0397389,-118.1865138,"3600 East Cesar E Chavez Avenue, Los Angeles, CA 90063, USA",90063
21,La Family Market,33.9102883,-118.2313817,"E Stockwell St, Willowbrook, CA 90222, USA",90222
22,J & J Grocery,34.2008952,-118.421843,"13244 Sherman Way # B, North Hollywood, CA 91605, USA",91605
23,Grocery Outlet,34.0449524,-118.452374,"11540 Santa Monica Blvd, Los Angeles, CA 90025, USA",90025
