,name,lat,long,address,zipcode
0,Adventist Health Glendale Medical Center,34.150835,-118.2305114,"1509 Wilson Terrace, Glendale, CA 91206, USA",91206
1,Adventist Health White Memorial Medical Center ,34.0494573,-118.2167639,"1720 East Cesar E Chavez Avenue, Los Angeles, CA 90033, USA",90033
2,Alhambra Hospital Medical Center,34.0903316,-118.144148,"100 S Raymond Ave, Alhambra, CA 91801, USA",91801
3,American Recovery Center,34.0609446,-117.7909095,"2180 Valley Blvd, Pomona, CA 91768, USA",91768
4,Antelope Valley Hospital,34.6881536,-118.159383,"1600 W Ave J, Lancaster, CA 93534, USA",93534
5,Aurora Charter Oak,34.099878,-117.866688,"1161 E Covina Blvd, Covina, CA 91724, USA",91724
6,Aurora Las Encinas Hospital,34.1415771,-118.0910593,"2900 E Del Mar Blvd, Pasadena, CA 91107, USA",91107
7,BHC Alhambra Hospital,34.0886468,-118.0738074,"4619 Rosemead Blvd, Rosemead, CA 91770, USA",91770
8,Barlow Respiratory Hospital,34.0757094,-118.2481853,"2000 Stadium Way, Los Angeles, CA 90026, USA",90026
9,Bellflower Behavioral Health Hospital ,33.8742727,-118.1295544,"9542 Artesia Blvd, Bellflower, CA 90706, USA",90706
10,Beverly Hospital,34.0150206,-118.1000468,"309 W Beverly Blvd, Montebello, CA 90640, USA",90640
11,California Hospital Medical Center - Los Angeles,34.0375121,-118.2662568,"1401 S Grand Ave, Los Angeles, CA 90015, USA",90015
12,California Rehabilitation Institute,34.05911,-118.411759,"2070 Century Park E, Los Angeles, CA 90067, USA",90067
13,Casa Colina Hospital,34.0976665,-117.746897,"255 E Bonita Ave, Pomona, CA 91767, USA",91767
14,Catalina Island Medical Center,33.3391987,-118.3307081,"100 Falls Canyon Rd, Avalon, CA 90704, USA",90704
15,Cedars Sinai Medical Center ,34.0752686,-118.3803769,"8700 Beverly Blvd, West Hollywood, CA 90048, USA",90048
16,Cedars-Sinai Marina Del Rey Hospital ,33.9821311,-118.4393373,"4650 Lincoln Blvd, Marina Del Rey, CA 90292, USA",90292
17,Centinela Hospital Medical Center,33.9503259,-118.3482736,"555 E Hardy St, Inglewood, CA 90301, USA",90301
18,Children's Hospital of Los Angeles ,34.0976833,-118.2899098,"4650 Sunset Blvd, Los Angeles, CA 90027, USA",90027
19,City of Hope Helford Clinical Research Hospital,34.1298507,-117.9707722,"1500 E Duarte Rd, Duarte, CA 91010, USA",91010
20,Coast Plaza Hospital,33.9122427,-118.0986084,"13100 Studebaker Rd, Norwalk, CA 90650, USA",90650
21,College Hospital,33.6517429,-117.9118936,"301 Victoria St, Costa Mesa, CA 92627, USA",92627
22,College Medical Center,33.8072978,-118.192684,"2776 Pacific Ave, Long Beach, CA 90806, USA",90806
23,College Medical Center Hawthorne Campus,33.9116616,-118.351765,"13300 Hawthorne Blvd, Hawthorne, CA 90250, USA",90250
24,College Medical Center,33.8072978,-118.192684,"2776 Pacific Ave, Long Beach, CA 90806, USA",90806
25,South Campus D/P APH,33.788473,-118.194141,"1725 Pacific Ave, Long Beach, CA 90813, USA",90813
26,Community Hospital of Huntington Park,33.9895589,-118.2241996,"2623 Slauson Ave, Huntington Park, CA 90255, USA",90255
27,Community Hospital of Long Beach ,33.7884737,-118.1452922,"1720 Termino Ave, Long Beach, CA 90804, USA",90804
28,Del Amo Hospital,33.8103056,-118.3444811,"23700 Camino Del Sol, Torrance, CA 90505, USA",90505
29,Department of State Hospital - Metropolitan,33.9265548,-118.0677818,"11401 Bloomfield Ave, Norwalk, CA 90650, USA",90650
30,Docs Surgical Hospital ,34.05731,-118.3623112,"6000 San Vicente Blvd, Los Angeles, CA 90036, USA",90036
31,East Los Angeles Doctors Hospital,34.0237682,-118.1841496,"4060 Whittier Blvd, Los Angeles, CA 90023, USA",90023
32,Emanate Health Foothill Presbyterian Hospital ,34.1328165,-117.8712996,"250 S Grand Ave, Glendora, CA 91741, USA",91741
33,Emanate Health Inter-Community Hospital ,34.088021,-117.893412,"210 W San Bernardino Rd, Covina, CA 91723, USA",91723
34,Emanate Health Queen of the Valley Hospital ,34.0634804,-117.9452464,"1115 S Sunset Ave, West Covina, CA 91790, USA",91790
35,Encino Hospital Medical Center,34.1570671,-118.4869162,"16237 Ventura Blvd, Encino, CA 91436, USA",91436
36,Exodus Recovery Pychiatric Health Facility,34.023397,-118.397872,"9808 Venice Blvd #300, Culver City, CA 90232, USA",90232
37,Garfield Medical Center,34.0680902,-118.1233504,"525 N Garfield Ave, Monterey Park, CA 91754, USA",91754
38,Gateways Hospital & Mental Health Center,34.0849411,-118.2567073,"1891 Effie St, Los Angeles, CA 90026, USA",90026
39,Glendale Memorial Hospital and Health Center,34.1274909,-118.2568564,"1420 S Central Ave, Glendale, CA 91204, USA",91204
40,Glendora Oaks Behavioral Health Hospital,34.1275979,-117.8654574,"150 W Rte 66, Glendora, CA 91740, USA",91740
41,Good Samaritan Hospital-Los Angeles,34.0542523,-118.265188,"1225 Wilshire Blvd, Los Angeles, CA 90017, USA",90017
42,Greater El Monte Community Hospital,34.0480634,-118.0431471,"1701 Santa Anita Ave, South El Monte, CA 91733, USA",91733
43,Henry Mayo Newhall Hospital,34.39787,-118.5539446,"23845 McBean Pkwy, Valencia, CA 91355, USA",91355
44,Hollywood Presbyterian Medical Center,34.0962367,-118.2912621,"1300 N Vermont Ave, Los Angeles, CA 90027, USA",90027
45,Huntington Memorial Hospital,34.133943,-118.1521448,"100 W California Blvd, Pasadena, CA 91105, USA",91105
46,Joyce Eisenberg Keefer Medical Center,34.200549,-118.55303,"7150 Tampa Ave, Reseda, CA 91335, USA",91335
47,Kaiser Foundation Hospital - Baldwin Park,34.0655016,-117.9864524,"1011 Baldwin Park Blvd, Baldwin Park, CA 91706, USA",91706
48,Kaiser Foundation Hospital - Downey,33.9191479,-118.1288238,"9333 Imperial Hwy, Downey, CA 90242, USA",90242
49,Kaiser Foundation Hospital - Los Angeles ,34.0977507,-118.293153,"4760 Sunset Blvd #3, Los Angeles, CA 90027, USA",90027
50,Kaiser Foundation Hospital - Mental Health Center,39.7088382,-104.8678069,"10350 E Dakota Ave #125, Denver, CO 80247, USA",80247
51,Kaiser Foundation Hospital - Panorama City,34.2189172,-118.4301533,"13651 Willard St, Panorama City, CA 91402, USA",91402
52,Kaiser Foundation Hospital - South Bay,33.7886375,-118.2957816,"25825 S Vermont Ave, Harbor City, CA 90710, USA",90710
53,Kaiser Foundation Hospital - West LA,34.038676,-118.375021,"6041 Cadillac Ave, Los Angeles, CA 90034, USA",90034
54,Kaiser Foundation Hospital - Woodland Hills,34.1709445,-118.5896036,"5601 De Soto Ave, Woodland Hills, CA 91367, USA",91367
55,Keck Hospital of USC ,34.2035312,-118.2166403,"1818 Verdugo Blvd UNIT 300, Glendale, CA 91208, USA",91208
56,Kedren Community Mental Health Center,34.0073123,-118.2661803,"4211 S Avalon Blvd, Los Angeles, CA 90011, USA",90011
57,Kindred Hospital - Baldwin Park,34.063453,-117.9674428,"14148 Francisquito Ave, Baldwin Park, CA 91706, USA",91706
58,Kindred Hospital - La Mirada,33.9162734,-118.0134213,"14900 Imperial Hwy, La Mirada, CA 90638, USA",90638
59,Kindred Hospital - Los Angeles,33.9901823,-118.378426,"5525 W Slauson Ave, Los Angeles, CA 90056, USA",90056
60,Kindred Hospital - Paramount ,33.884218,-118.162304,"16453 Colorado Ave, Paramount, CA 90723, USA",90723
61,Kindred Hospital - San Gabriel Valley,34.087068,-117.917246,"845 N Lark Ellen Ave, West Covina, CA 91791, USA",91791
62,Kindred Hospital - South Bay,33.8901081,-118.2974337,"1246 W 155th St, Gardena, CA 90247, USA",90247
63,L.A. Downtown Medical Center ,34.0696967,-118.2635015,"1711 W Temple St, Los Angeles, CA 90026, USA",90026
64,L.A. Downtown Medical Center - Ingleside Campus D/P APH ,34.0696967,-118.2635015,"1711 W Temple St, Los Angeles, CA 90026, USA",90026
65,La Casa Psychiatric Health Facility,33.8651973,-118.1576998,"6060 Paramount Blvd, Long Beach, CA 90805, USA",90805
66,Lakewood Regional Medical Center,33.8596452,-118.1484301,"3700 E South St, Lakewood, CA 90712, USA",90712
67,Los Angeles Community Hospital,34.0192887,-118.1866586,"4081 E Olympic Blvd, Los Angeles, CA 90023, USA",90023
68,Los Angeles County+USC Medical Center ,34.0575334,-118.2075585,"2051 Marengo St, Los Angeles, CA 90033, USA",90033
69,Los Angeles County/Harbor-UCLA Medical Center ,33.8298404,-118.2947364,"1000 W Carson St, Torrance, CA 90502, USA",90502
70,Los Angeles County/Rancho Los Amigos,33.9292304,-118.1586281,"7601 E Imperial Hwy, Downey, CA 90242, USA",90242
71,National Rehab Center,38.93050900000001,-77.0133786,"102 Irving St NW, Washington, DC 20010, USA",20010
72,Los Angeles County Olive View-UCLA Medical Center ,34.3259653,-118.4461603,"14445 Olive View Dr, Sylmar, CA 91342, USA",91342
73,"Martin Luther King, Jr. Community Hospital",33.923342,-118.2417401,"1680 E 120th St, Los Angeles, CA 90059, USA",90059
74,Memorial Hospital of Gardena,33.892948,-118.2947275,"1145 W Redondo Beach Blvd, Gardena, CA 90247, USA",90247
75,MemorialCare Long Beach Medical Center ,33.8079396,-118.1871508,"2801 Atlantic Ave, Long Beach, CA 90806, USA",90806
76,MemorialCare Miller Children's & Women's Hospital Long Beach ,33.8085245,-118.1859758,"2801 Atlantic Ave, Long Beach, CA 90806, USA",90806
