Igloo,0
Hut,1
Plane,2
Villa,3
Other,4
Guest suite,5
Tiny house,6
Dome house,7
Island,8
Townhouse,9
Minsu (Taiwan),10
Barn,11
Nature lodge,12
Yurt,13
Loft,14
Guesthouse,15
Cottage,16
Vacation home,17
Apartment,18
Tent,19
Earth house,20
Serviced apartment,21
Hostel,22
Casa particular (Cuba),23
Bungalow,24
Bed and breakfast,25
Hotel,26
Boutique hotel,27
Camper/RV,28
House,29
Campsite,30
Resort,31
Pension (South Korea),32
Castle,33
Bus,34
Aparthotel,35
Lighthouse,36
Train,37
Tipi,38
Cave,39
Cabin,40
Condominium,41
Boat,42
Chalet,43
Farm stay,44
Dorm,45
Treehouse,46
