,name,experiences_offered,transit,host_since,host_location,host_response_time,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,street,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,Amazing bright elegant condo park front *UPGRADED*,none,,2008-06-27,"San Francisco, California, United States",,f,Culver City,1.0,1.0,t,t,"Culver City, CA, United States",Culver City,Culver City,Other Cities,Culver City,CA,90230,Los Angeles,"Culver City, CA",US,United States,33.98209480942075,-118.38493517724017,t,Condominium,Entire home/apt,6,2.0,2.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",""Pets allowed"",Gym,Elevator,""Hot tub"",""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",$122.00,$904.00,"$2,851.00",$500.00,$240.00,3,$25.00,7,730,7,7,730,730,7.0,730.0,t,0,0,0,272,2,0,80.0,10.0,10.0,6.0,8.0,10.0,8.0,f,f,f,strict_14_with_grace_period,t,f,1,1,0,0,0.02
1,Family perfect;Pool;Near Studios!,none,"Short drive to subway and elevated trains running to major tourist spots in LA; freeways minutes away as well.  Car is advised for maximum accessibility to greater Los Angeles. Uber-friendly suburb, close to Hollywood and more.",2008-07-11,"Burbank, California, United States",within a day,f,Burbank,1.0,1.0,t,t,"Burbank, CA, United States",Burbank,Burbank,Other Cities,Burbank,CA,91505,Los Angeles,"Burbank, CA",US,United States,34.16561629789767,-118.33458234524531,t,House,Entire home/apt,6,1.0,3.0,3.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Pets live on this property"",Dog(s),""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Children’s books and toys"",""Fireplace guards"",""Children’s dinnerware"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Luggage dropoff allowed"",Other}",$168.00,,,$0.00,$100.00,6,$0.00,2,14,2,2,14,14,2.0,14.0,t,0,0,0,169,4,2,93.0,10.0,10.0,10.0,10.0,10.0,9.0,f,t,f,flexible,f,f,1,1,0,0,0.13
2,Gold Memory Foam Bed & Breakfast in West Hollywood,none,"There are many buses; bus stops going in every direction are just around the corner. The subway is five minutes away. We are in the heart of Los Angeles, West Hollywood, Hollywood, California, USA.  Convenient to all the major studios. Beverly Hills is minutes away, as well.",2008-09-16,"Los Angeles, California, United States",within an hour,t,Hollywood,2.0,2.0,t,t,"Los Angeles, CA, United States",,Hollywood,City of Los Angeles,Los Angeles,CA,90046,Los Angeles,"Los Angeles, CA",US,United States,34.097675691382044,-118.34602260871357,t,Apartment,Private room,1,1.5,1.0,1.0,Real Bed,"{Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Gym,Breakfast,Elevator,""Free street parking"",""Hot tub"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony"",""Host greets you""}",$79.00,$399.00,$949.00,$299.00,$85.00,1,$0.00,6,366,6,6,366,366,6.0,366.0,t,0,8,25,286,14,7,97.0,10.0,10.0,10.0,10.0,10.0,10.0,f,t,f,strict_14_with_grace_period,f,f,2,0,2,0,0.25
3,Zen Life at the Beach,none,,2008-09-17,"Santa Monica, California, United States",within a few hours,f,Santa Monica,2.0,2.0,t,f,"Santa Monica, CA, United States",Santa Monica,Santa Monica,Other Cities,Santa Monica,CA,90405,Los Angeles,"Santa Monica, CA",US,United States,34.00474968252267,-118.48126588224487,t,Apartment,Private room,1,1.0,1.0,1.0,Pull-out Sofa,"{Internet,Wifi,Kitchen,Heating,Washer,Dryer,""Smoke detector"",Essentials,Shampoo,Hangers,""Hair dryer"",""Host greets you""}",$140.00,$800.00,"$1,879.00",,$100.00,1,$0.00,1,180,1,1,180,180,1.0,180.0,t,30,60,90,365,18,1,96.0,9.0,9.0,10.0,10.0,10.0,9.0,t,f,f,strict_14_with_grace_period,f,f,2,1,1,0,0.19
4,*Upscale Professional Home with Beautiful Studio*,none,Public transportation is a 3 minutes walk to the main street.,2008-09-25,"Long Beach, California, United States",,f,Bellflower,1.0,1.0,t,t,"Bellflower, CA, United States",Bellflower,Bellflower,Other Cities,Bellflower,CA,90706,Los Angeles,"Bellflower, CA",US,United States,33.87618878635154,-118.1139679197833,t,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Hot tub"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$80.00,$399.00,"$1,400.00",$100.00,$75.00,1,$25.00,2,730,2,2,730,730,2.0,730.0,t,0,0,0,0,0,0,,,,,,,,f,f,f,strict_14_with_grace_period,f,f,1,1,0,0,
5,Hollywood Hills Zen Modern style Apt/Guesthouse,none,"Car, Bike and Hike !! Uber access , Bus stop walking distance",2008-10-02,"Los Angeles, California, United States",within a day,f,Laurel Canyon,3.0,3.0,t,t,"Los Angeles, CA, United States",Laurel Canyon,Hollywood Hills West,City of Los Angeles,Los Angeles,CA,90046,Los Angeles,"Los Angeles, CA",US,United States,34.11131722582114,-118.38227060409824,t,Guest suite,Entire home/apt,2,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",""Bed linens"",""Long term stays allowed"",""Host greets you""}",$110.00,$790.00,"$2,450.00",$250.00,$60.00,1,$9.00,3,730,3,3,730,730,3.0,730.0,t,30,60,90,365,23,5,81.0,8.0,8.0,8.0,9.0,9.0,8.0,f,f,f,strict_14_with_grace_period,f,f,3,1,2,0,0.35
6,Tiny Home in Artistic Oasis near Venice and LAX,none,"You can park right in front of our home if you come with a rental car. There are bus stations right around the corner from us to take you to Hollywood, Downtown, LA or Santa Monica. In summer there is a free shuttle to bring you right to Venice Beach so you don't have to worry about parking...",2009-03-05,"Los Angeles, California, United States",,t,Del Rey,5.0,5.0,t,f,"Los Angeles, CA, United States",Del Rey,Del Rey,City of Los Angeles,Los Angeles,CA,90066,Los Angeles,"Los Angeles, CA",US,United States,33.988329909555894,-118.43224412768149,t,Tiny house,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,Wifi,""Free street parking"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",Other}",$75.00,$350.00,,$100.00,$25.00,1,$15.00,1,14,1,1,14,14,1.0,14.0,t,16,44,74,140,215,80,95.0,10.0,10.0,10.0,10.0,9.0,9.0,f,t,f,moderate,f,f,4,1,3,0,1.86
7,Zen Room with Floating Bed near Venice and LAX,none,"You can park right in front of our home if you come with a rental car. There are bus stations right around the corner from us to take you to Hollywood, Downtown, LA or Santa Monica. In summer there usually is a free shuttle to bring you right to Venice Beach so you don't have to worry about parking...",2009-03-05,"Los Angeles, California, United States",,t,Del Rey,5.0,5.0,t,f,"Los Angeles, CA, United States",Del Rey,Del Rey,City of Los Angeles,Los Angeles,CA,90066,Los Angeles,"Los Angeles, CA",US,United States,33.986850318430136,-118.43266096205332,t,Guesthouse,Private room,3,1.0,1.0,2.0,Airbed,"{Internet,Wifi,""Free street parking"",Heating,""Family/kid friendly"",Washer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",Other}",$105.00,,,$150.00,$50.00,2,$15.00,1,29,1,1,29,29,1.0,29.0,t,9,18,40,120,140,64,96.0,10.0,10.0,10.0,10.0,9.0,9.0,f,t,f,moderate,f,f,4,1,3,0,1.23
8,Artist Oasis near Venice Beach w/ Beautiful Garden,none,"You can park right in front of our home if you come with a rental car. There are bus stations right around the corner from us to take you to Hollywood, Downtown, LA or Santa Monica. In summer there is a free shuttle to bring you right to Venice Beach so you don't have to worry about parking...",2009-03-05,"Los Angeles, California, United States",,t,Del Rey,5.0,5.0,t,f,"Los Angeles, CA, United States",Del Rey,Del Rey,City of Los Angeles,Los Angeles,CA,90066,Los Angeles,"Los Angeles, CA",US,United States,33.9878234688789,-118.43170427473012,t,House,Entire home/apt,5,1.0,2.0,2.0,Real Bed,"{Internet,Wifi,Kitchen,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""High chair"",""Children’s books and toys"",""Hot water"",""Bed linens"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",$303.00,,"$3,900.00",$200.00,$100.00,2,$15.00,1,1120,1,1,1120,1120,1.0,1120.0,t,11,37,41,274,69,35,91.0,9.0,9.0,10.0,10.0,9.0,9.0,f,t,f,moderate,f,f,4,1,3,0,0.74
9,Poolside Serenity Studio,none,"I have an extra car so you can ask me about renting it!  Our home is freeway close by 1-2 miles.  There is a bus stop 2 blocks away and a Metro Link in Warner Center, 3 miles away.",2009-03-28,"Los Angeles, California, United States",within an hour,f,Woodland Hills/Warner Center,12.0,12.0,t,t,"Woodland Hills, CA, United States",Woodland Hills/Warner Center,Woodland Hills,City of Los Angeles,Woodland Hills,CA,91367,Los Angeles,"Woodland Hills, CA",US,United States,34.16824597310502,-118.64437635327872,t,Villa,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,""Free parking on premises"",Gym,""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Private living room"",""Private entrance"",""High chair"",""Children’s books and toys"",""Pack ’n Play/travel crib"",""Hot water"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Cleaning before checkout""}",$85.00,,,$150.00,$25.00,2,$0.00,5,30,5,5,30,30,5.0,30.0,t,0,0,0,0,22,1,89.0,8.0,8.0,9.0,9.0,9.0,8.0,f,f,f,strict_14_with_grace_period,f,f,5,2,3,0,0.19
